name,April,February,January,June,March,May
Paula Allen,2,2,1,0,2,1
Paula Bryant,2,3,2,3,1,1
Paula Caldwell,2,1,2,0,3,1
Paula Donovan,2,0,1,0,2,3
Paula Gardner,3,2,0,0,0,2
Paula Hanson,3,1,3,1,3,3
Paula Harris,3,2,1,1,3,3
Paula Howard,1,1,3,2,1,3
Paula Thompson,1,0,1,3,2,0
Paula Wells,1,1,3,2,2,2
Paula Williamson,3,1,1,3,0,3
Pedro Irwin Jr.,0,2,2,1,1,2
Peggy Gomez,0,1,1,1,2,3
Peggy Haley,1,0,3,2,3,0
Penny Wilson,0,3,1,2,0,1
Perry Mason,1,1,1,1,3,1
Peter Abbott,3,0,1,3,2,3
Peter Anderson,3,1,1,2,3,2
Peter Benitez,2,3,2,1,1,3
Peter Bennett,3,1,1,1,3,2
Peter Buckley,0,0,1,0,3,0
Peter Carroll,0,2,3,2,2,1
Peter Davis,1,1,2,0,3,0
Peter Garcia,2,1,2,0,0,1
Peter Harrison,0,3,3,1,0,2
Peter Hernandez,1,0,1,0,2,0
Peter Humphrey,0,2,0,0,0,1
Peter Jefferson,0,1,1,0,1,3
Peter Lam,3,1,3,1,1,2
Peter Lee,0,2,3,2,1,2
Peter Marks MD,3,1,2,0,2,0
Peter Mcconnell,1,0,3,0,1,3
Peter Mccormick,0,1,1,0,2,3
Peter Miller,1,1,3,0,1,3
Peter Nguyen,1,1,3,2,0,0
Peter Rodriguez,3,0,1,2,0,2
Peter Romero,1,1,1,0,2,3
Peter Shah,0,2,0,2,3,0
Peter Smith Jr.,3,0,3,2,2,3
Peter Soto,3,0,3,0,1,0
Peter Thomas,3,2,1,1,0,2
Peter Thompson,3,0,2,1,2,2
Peter Walker,2,3,4,5,1,1
Peter Wilson,3,2,3,2,1,2
Philip Ali,3,1,2,3,0,2
Philip Alvarez,3,0,2,1,1,2
Philip Anderson,1,1,0,1,2,1
Philip Baker,2,2,3,2,2,2
Philip Brooks,2,2,2,2,3,1
Philip Cruz,2,3,2,1,1,0
Philip Gibson,1,1,2,3,3,2
Philip Gould,0,2,2,3,3,3
Philip Grimes,3,3,1,1,3,0
Philip Ho,2,3,2,1,1,2
Philip Hobbs,0,3,2,0,2,0
Philip Ortiz,3,1,0,1,2,1
Philip Santiago,3,3,3,2,3,3
Phillip Anderson,3,2,0,2,1,0
Phillip Barton,1,2,3,1,0,2
Phillip Bray,0,1,1,2,2,0
Phillip Buchanan,3,0,3,2,2,1
Phillip Chavez,2,0,1,0,1,3
Phillip Edwards,3,2,2,2,2,0
Phillip Garza,1,1,0,1,2,1
Phillip Hernandez,1,3,1,0,0,2
Phillip Hicks,1,3,0,2,1,1
Phillip Hines,3,1,2,1,2,0
Phillip Hudson,3,3,1,2,2,0
Phillip Jones,2,2,3,0,0,2
Phillip Maddox,2,1,2,1,2,2
Phillip Marshall,2,0,0,1,3,3
Phillip Mendez,3,1,2,1,3,1
Phillip Peck,1,0,0,2,2,1
Phillip Price,1,2,1,2,1,1
Phillip Prince,1,3,0,1,2,3
Phillip Richard,2,2,0,2,3,2
Phillip Rosario,0,2,3,1,0,1
Phillip Rose,3,0,1,0,0,2
Phillip Stone,1,2,0,2,2,1
Phillip Whitney,0,3,1,2,0,0
Phyllis Carter,0,1,2,1,2,3
Phyllis Rodriguez,1,3,1,0,0,0
Preston Gutierrez,0,0,0,2,0,2
Priscilla Pruitt,0,3,1,2,2,2
Priscilla Smith,3,2,2,0,3,3
Rachael Ewing,2,1,1,1,3,1
Rachael Garza,2,3,0,3,3,0
Rachael Pineda,0,3,1,3,3,3
Rachel Andrade,0,3,2,2,2,3
Rachel Bass DVM,1,2,2,2,3,0
Rachel Becker,2,1,1,1,2,1
Rachel Brooks,3,1,1,3,0,1
Rachel Burns,2,2,1,1,3,1
Rachel Castro,1,0,2,1,1,3
Rachel Chapman,2,1,2,2,1,0
Rachel Compton,1,0,0,0,3,0
Rachel Davis,3,3,2,1,0,1
Rachel Flores,2,1,1,2,2,3
Rachel Flores MD,1,0,2,3,0,3
Rachel Garcia,1,2,2,3,0,3
Rachel Gentry,2,0,1,0,3,3
Rachel Hardin,1,2,2,1,2,3
Rachel Hardy,0,3,1,3,2,3
Rachel Henderson,0,3,0,1,0,0
Rachel Hernandez,0,1,1,3,3,0
Rachel Howell,2,3,1,1,1,1
Rachel Huang,1,1,1,0,2,0
Rachel Kelly,3,3,3,5,3,5
Rachel Kennedy,0,4,4,0,1,3
Rachel King,7,4,6,3,5,4
Rachel Larsen,2,2,3,1,3,2
Rachel Lee,3,2,3,1,3,0
Rachel Morales,2,2,1,1,1,3
Rachel Morton,0,2,3,1,3,2
Rachel Mullins,3,2,0,1,1,1
Rachel Ortega,0,2,2,1,2,0
Rachel Owen,3,2,0,0,3,1
Rachel Pacheco,3,0,2,0,1,0
Rachel Phelps,3,1,1,3,3,0
Rachel Phillips,0,1,2,2,0,0
Rachel Ruiz,1,1,1,0,2,1
Rachel Schwartz,0,3,2,3,3,2
Rachel Scott,1,0,1,2,0,1
Rachel Shelton,0,1,2,1,3,0
Rachel Shepard,2,3,1,3,2,2
Rachel Stephens,2,3,3,1,1,1
Ralph Hardin,3,0,1,2,0,3
Ralph Holt MD,3,1,3,2,0,2
Ralph Price,0,1,2,2,2,1
Ralph Sheppard,2,3,3,1,1,3
Ralph Wilcox,2,1,2,0,2,2
Randall Adams,0,0,2,2,0,3
Randall Brooks,2,3,1,1,3,2
Randall Hernandez,3,3,2,0,0,3
Randall James,2,2,0,0,2,3
Randall Matthews,1,0,1,3,2,2
Randall Mcbride,0,3,2,3,1,1
Randall Moore,3,2,0,2,0,2
Randall Parks,1,3,0,3,0,3
Randall Rogers,0,0,2,0,1,2
Randy Barker,0,2,0,3,1,3
Randy Castro,2,1,1,0,1,0
Randy Holmes,1,0,0,0,1,0
Randy Joyce,1,0,2,2,1,1
Randy Lopez,2,3,0,1,1,1
Randy Mcmillan,0,0,2,2,0,1
Randy Ramsey,2,3,2,0,1,1
Randy Reed,1,3,1,1,1,2
Randy Roach,2,3,1,2,3,3
Randy Torres,0,3,3,2,2,2
Raven Jimenez,0,1,2,2,2,0
Raymond Andersen,0,0,1,1,3,0
Raymond Barnes,3,1,2,2,2,0
Raymond Bruce,0,1,1,3,1,0
Raymond Conway,1,1,1,1,0,0
Raymond Ellison,2,1,0,1,1,3
Raymond Michael,3,1,3,2,2,1
Raymond Murray,2,3,0,1,3,0
Raymond Newton,0,2,0,1,2,3
Raymond Orozco,0,2,1,2,3,0
Raymond Reyes,0,2,3,3,2,2
Raymond Rivera,1,0,1,1,2,0
Raymond Rodriguez,1,2,0,0,2,3
Raymond Sheppard,1,3,2,1,2,3
Raymond Torres,2,1,2,3,3,3
Raymond Wilson MD,3,3,2,3,3,2
Raymond Young,3,0,0,3,3,2
Rebecca Allen,3,0,0,3,1,2
Rebecca Anderson,1,0,3,3,0,1
Rebecca Anthony,3,1,0,1,1,3
Rebecca Ball,1,1,1,3,1,3
Rebecca Barker,2,3,0,0,0,2
Rebecca Bell,1,3,0,1,2,1
Rebecca Bender,1,2,0,3,3,0
Rebecca Bennett,2,0,1,3,3,0
Rebecca Brock,1,1,3,1,2,0
Rebecca Brown,0,1,0,2,1,3
Rebecca Chung,0,0,1,1,1,3
Rebecca Cooley,1,2,3,3,0,3
Rebecca Crosby,2,1,2,1,0,2
Rebecca Cruz,2,0,1,2,0,0
Rebecca Drake,3,3,3,0,1,0
Rebecca Estrada,3,3,0,2,3,0
Rebecca Forbes,1,0,1,2,1,3
Rebecca Freeman,3,1,1,2,0,2
Rebecca Gallegos,2,2,0,3,1,1
Rebecca Gibson,3,3,3,2,2,1
Rebecca Griffin,1,2,2,2,0,0
Rebecca Harris,1,1,3,1,1,0
Rebecca Hayes,3,3,1,2,1,3
Rebecca Ingram,0,1,1,1,2,3
Rebecca Kidd,1,0,1,1,0,1
Rebecca Klein,2,1,3,0,2,3
Rebecca Lee,3,0,1,0,0,0
Rebecca Lopez,2,0,3,2,0,0
Rebecca Lozano,1,3,0,1,0,0
Rebecca Lynch,1,0,2,3,3,0
Rebecca Martinez,2,2,2,0,2,0
Rebecca Mendoza,2,2,1,3,0,2
Rebecca Montes,3,0,1,3,1,3
Rebecca Moore,0,2,0,1,3,0
Rebecca Mosley,0,1,1,2,0,3
Rebecca Moyer,2,2,3,0,1,0
Rebecca Murphy,3,1,0,2,0,2
Rebecca Novak,0,3,2,3,2,0
Rebecca Oconnor,1,1,0,0,0,1
Rebecca Palmer,3,2,0,2,2,0
Rebecca Phillips,2,3,1,1,2,3
Rebecca Powell,1,1,1,1,0,1
Rebecca Riley,3,3,2,1,1,2
Rebecca Roberson,1,1,3,1,0,2
Rebecca Roth,1,0,3,3,1,0
Rebecca Ruiz,3,3,3,2,3,2
Rebecca Russell,0,3,2,1,1,2
Rebecca Sanford,2,3,2,2,3,1
Rebecca Schroeder,3,3,2,3,3,0
Rebecca Scott,3,3,0,0,3,2
Rebecca Smith,3,1,0,3,1,2
Rebecca Spears,1,0,1,3,2,1
Rebecca Strickland,3,2,0,2,0,0
Rebecca Thompson,1,1,0,0,3,1
Rebecca Walker,3,3,0,0,1,2
Rebecca Wallace,2,3,3,2,1,1
Rebecca Walter,0,1,2,1,0,0
Rebecca Williams,1,2,1,3,0,2
Rebecca Wolfe,1,1,2,3,2,2
Rebecca Wong,2,0,0,1,2,0
Rebekah Gould,0,3,0,1,0,3
Rebekah Hudson,3,0,1,3,2,3
Rebekah Wolfe,0,2,3,2,1,3
Regina Campbell,0,1,0,0,3,3
Regina Diaz,1,0,2,0,1,2
Regina Ellis,2,3,2,2,2,3
Regina Frost,3,0,3,1,1,3
Regina Moreno,1,1,2,1,3,3
Regina Peterson,2,3,0,3,2,0
Regina Rice,0,3,2,3,1,3
Regina Smith,4,3,3,5,2,3
Regina Soto,2,2,1,2,2,3
Reginald Blankenship,2,2,0,1,0,3
Reginald Dickson,1,0,2,3,2,2
Renee Alvarez,1,1,0,1,2,3
Renee Anderson,1,2,0,3,3,2
Renee Brown,0,2,1,2,2,1
Renee Chase,1,0,0,3,0,1
Renee Conway,3,1,3,1,1,3
Renee Haney,2,0,1,1,2,0
Renee Hill,3,2,1,2,1,0
Renee Osborne,1,1,2,0,1,0
Renee Powell,2,1,1,2,2,1
Renee Russell,1,3,1,1,2,2
Renee Smith,3,3,3,1,3,2
Renee Washington,3,3,3,0,1,3
Rhonda Andrade,1,2,1,3,1,3
Rhonda Bates,1,3,1,2,1,1
Rhonda Boyd,2,0,2,1,1,0
Rhonda Calderon,0,2,0,1,0,1
Rhonda Chambers,3,3,3,1,2,3
Rhonda Chan,3,2,0,0,2,1
Rhonda Cunningham,0,3,2,1,3,1
Rhonda Gonzalez,2,3,1,0,1,2
Rhonda Kirby,2,1,0,3,3,0
Rhonda Madden,3,0,3,0,1,2
Rhonda Simmons,1,3,1,0,2,3
Rhonda Walters,3,1,3,2,2,2
Ricardo Gilbert,2,1,2,3,1,1
Ricardo Li,3,1,3,2,0,3
Ricardo Medina,2,2,1,3,2,3
Ricardo Nguyen,1,0,1,3,0,1
Ricardo Price,3,3,2,2,2,2
Ricardo Sullivan,2,2,1,2,1,0
Ricardo Wilson,3,0,0,0,3,3
Richard Adams,0,3,0,1,1,1
Richard Alvarado,2,3,1,1,2,3
Richard Bishop,0,0,3,2,0,2
Richard Brown,2,3,3,2,0,0
Richard Burns,0,2,2,3,3,3
Richard Bush,0,3,3,1,3,0
Richard Collins,0,3,1,3,1,0
Richard Crawford,2,0,0,3,1,2
Richard Cummings,3,2,1,3,1,1
Richard Davenport,3,2,2,2,0,0
Richard Diaz,2,0,0,0,3,1
Richard Ellison,1,1,0,1,2,0
Richard Fischer,1,2,3,2,2,2
Richard Garcia,0,2,3,0,3,1
Richard Green,0,1,1,2,2,0
Richard Hall,3,1,3,3,2,3
Richard Haney,1,2,1,0,3,1
Richard Harper,2,0,0,3,3,1
Richard Hudson,0,2,3,1,3,2
Richard Johnson,1,3,3,3,0,1
Richard Jones,2,1,2,1,1,2
Richard Joseph,3,3,1,2,1,3
Richard Macias,2,3,2,1,3,2
Richard Mcguire,1,2,0,1,2,3
Richard Mcintosh,2,0,3,2,1,0
Richard Monroe,2,2,1,3,3,1
Richard Moon,2,1,0,0,1,0
Richard Mosley,2,2,3,2,2,3
Richard Munoz,1,1,1,2,0,2
Richard Murray,2,2,1,2,0,3
Richard Nixon,3,2,3,2,3,3
Richard Nolan,0,1,3,0,0,3
Richard Parsons,0,3,2,0,1,2
Richard Patel,2,2,1,2,0,1
Richard Patterson,1,0,0,0,2,2
Richard Pena,2,3,2,1,2,1
Richard Perez,1,2,3,0,1,0
Richard Richardson,2,4,3,1,1,4
Richard Rogers,2,0,2,2,3,3
Richard Silva,1,0,0,1,3,0
Richard Smith,6,4,1,3,3,1
Richard Thomas,0,1,1,4,4,2
Richard Thompson,1,2,1,3,3,2
Richard Townsend,0,0,3,1,3,0
Richard Weaver,3,1,2,3,1,3
Richard Winters,1,0,2,2,0,1
Rick Carpenter,0,2,1,1,3,1
Rick Mosley,0,2,1,2,1,2
Rickey Moore,1,3,0,3,2,2
Ricky Hayes,3,1,2,2,0,2
Ricky Johnson,3,1,0,0,2,0
Ricky Pope,0,2,3,2,0,2
Ricky Russell,3,1,3,3,3,2
Ricky Smith,3,2,0,0,1,2
Ricky Ward,1,1,3,2,2,2
Riley Myers,3,0,3,2,2,0
Rita Parker,1,1,3,0,2,2
Rita Sheppard,1,2,3,1,2,2
Robert Adams,0,1,2,1,3,0
Robert Alvarez,3,2,0,0,3,0
Robert Anderson,6,3,8,3,5,5
Robert Arnold,0,3,3,0,0,1
Robert Ayala,2,0,2,2,2,2
Robert Baird,1,0,3,2,3,0
Robert Benjamin,0,3,0,0,2,3
Robert Bennett,3,2,2,0,1,3
Robert Benson,0,3,0,2,1,3
Robert Blair,3,3,0,3,3,0
Robert Brewer,3,2,1,3,2,3
Robert Brooks,2,1,1,3,0,0
Robert Brown,2,1,4,4,4,4
Robert Bryant,0,2,2,2,2,1
Robert Burns,1,1,2,0,6,6
Robert Calderon,1,2,2,0,2,2
Robert Carter,3,1,3,1,2,1
Robert Chase,1,2,2,1,3,3
Robert Cole,0,1,1,2,2,1
Robert Cooper,2,1,1,0,1,1
Robert Cox,2,3,2,0,3,1
Robert Craig,0,1,3,3,3,2
Robert Cruz,0,0,2,3,3,3
Robert Curtis,1,3,3,0,0,1
Robert Davenport,2,0,2,3,1,2
Robert Davis,3,1,0,0,3,2
Robert Dixon,3,3,3,5,2,2
Robert Ferrell,1,3,1,2,2,2
Robert Flynn,0,0,3,2,0,2
Robert Frazier,0,0,0,1,2,1
Robert Garcia,3,2,2,1,2,0
Robert Garza,3,0,1,1,2,2
Robert Glenn,1,3,1,2,2,0
Robert Goodwin,0,1,3,1,1,3
Robert Gordon,2,2,2,0,1,2
Robert Green,2,3,1,5,2,2
Robert Griffin,3,0,0,2,1,2
Robert Haas,3,1,3,1,2,1
Robert Hamilton,2,0,2,2,3,3
Robert Hanson,0,3,0,2,1,3
Robert Harmon,3,3,1,2,2,2
Robert Herman,5,4,3,0,4,4
Robert Hernandez,4,5,3,2,6,6
Robert Hicks,1,3,1,3,2,2
Robert Jackson,2,1,1,2,2,0
Robert Jenkins,2,3,1,3,3,1
Robert Johnson,3,4,3,0,3,3
Robert Johnson III,3,0,1,0,0,1
Robert Jones DDS,1,0,1,2,2,0
Robert Kane,2,0,3,0,2,3
Robert Kim,3,1,2,0,3,2
Robert King,3,0,0,2,0,1
Robert Krueger,2,3,2,2,1,1
Robert Lambert,1,2,2,0,0,1
Robert Lawrence,4,5,3,1,2,2
Robert Leblanc,3,3,0,1,3,3
Robert Leonard,1,2,1,3,2,3
Robert Lewis,2,3,4,5,2,2
Robert Lindsey,2,3,1,0,1,2
Robert Logan,2,0,2,0,1,3
Robert Lopez,2,0,0,1,3,2
Robert Madden,1,2,0,3,3,3
Robert Mann,0,3,1,1,3,3
Robert Marsh,0,1,2,0,0,0
Robert Martinez,1,3,1,3,1,2
Robert Mason,2,0,2,3,1,0
Robert Mathews,2,2,0,0,3,3
Robert Matthews,2,1,3,0,2,1
Robert Mccullough,0,3,2,0,1,0
Robert Mcdaniel,3,2,2,2,3,2
Robert Merritt,0,2,2,1,1,3
Robert Meyer,2,1,2,3,3,2
Robert Moody,3,2,2,3,2,0
Robert Moore,5,3,4,1,2,1
Robert Morgan,0,2,2,0,1,3
Robert Morris,1,3,3,2,2,3
Robert Munoz,2,1,1,0,2,1
Robert Murray,0,0,3,1,1,0
Robert Nguyen,2,1,0,0,1,0
Robert Owens,0,0,0,0,1,2
Robert Parrish,3,2,2,1,2,2
Robert Parsons,3,3,0,0,0,3
Robert Patton,0,0,2,2,3,3
Robert Perez,2,1,2,1,2,0
Robert Perry,0,1,0,1,2,2
Robert Peterson,0,3,1,0,2,0
Robert Pittman,1,3,3,1,3,2
Robert Pope,0,0,3,3,3,1
Robert Rice,3,1,1,2,0,2
Robert Richard,3,0,2,3,1,3
Robert Roberts,2,1,1,0,3,0
Robert Rodriguez,0,1,1,0,2,1
Robert Russell,1,2,3,1,3,3
Robert Russo,3,1,2,3,2,2
Robert Salazar,3,1,0,2,2,1
Robert Santiago,3,1,2,1,1,1
Robert Sherman,1,3,1,2,3,2
Robert Short,2,0,3,3,0,0
Robert Simmons,0,1,3,3,3,1
Robert Singh,1,0,0,0,3,2
Robert Smith,6,6,4,7,6,8
Robert Snyder,1,0,2,0,3,1
Robert Tate,0,1,2,1,1,1
Robert White,1,0,2,3,2,1
Robert Williams,4,6,7,6,4,10
Robert Wilson,1,3,1,2,2,1
Robert Wolfe,1,2,2,2,1,0
Robert Wright,1,3,3,0,3,1
Robert Young,4,5,2,3,6,5
Roberta Booker,1,0,1,1,2,3
Roberta Rodriguez,1,0,0,1,2,0
Roberto Blevins,1,1,3,3,2,2
Roberto Campbell,0,1,1,3,0,2
Roberto Castro,2,0,3,0,2,1
Roberto Herman,0,3,0,3,3,1
Roberto Medina,1,2,1,2,3,3
Roberto Whitaker,3,0,0,2,1,1
Robin Barry,3,3,2,1,3,3
Robin Caldwell,0,2,0,3,2,2
Robin Carpenter,2,2,1,2,1,0
Robin Collins,2,1,2,0,2,1
Robin Fisher,0,1,2,0,3,3
Robin Gonzales,3,2,1,0,1,0
Robin House,1,1,3,2,1,0
Robin Kline,0,2,0,3,0,1
Robin Larson,3,3,2,3,0,0
Robin Lee,0,3,1,1,1,1
Robin Mccoy,3,2,3,3,1,2
Robin Miller,2,3,1,3,3,0
Robin Moon,3,0,2,3,0,2
Robin Morales,2,1,2,1,0,2
Robin Robinson,3,3,1,3,2,1
Robin Russell,0,1,3,3,1,0
Robin Smith,0,3,3,3,3,0
Robin Stevens,2,2,3,2,1,2
Robin Vasquez,3,0,0,0,3,1
Robin Williams,0,0,3,3,0,1
Robyn Harrington,3,1,0,1,1,1
Rodney Barajas,3,0,1,2,0,3
Rodney Davis,0,3,1,2,1,3
Rodney Gordon,0,2,1,3,1,3
Rodney Hall,1,0,3,3,1,3
Rodney Ortega,0,2,0,3,3,3
Rodney Perry,0,1,1,2,3,2
Rodney Quinn,0,0,2,2,0,0
Rodney Rodriguez,0,0,3,3,1,2
Rodney Taylor,1,3,1,1,2,0
Rodney Vasquez,3,0,0,0,1,2
Roger Ashley,2,3,0,2,1,3
Roger Hood,2,0,2,2,0,0
Roger Myers,1,3,2,3,1,1
Roger Reid,3,1,3,1,2,0
Roger Tucker,3,3,2,1,0,0
Roger Ward DDS,1,2,1,2,3,0
Roger Williams,0,1,1,1,3,2
Roger Willis,0,0,3,1,1,0
Roger Wright,1,0,3,0,0,0
Ronald Archer,0,3,2,1,0,2
Ronald Baker,3,0,1,1,3,2
Ronald Bell,2,3,0,3,2,2
Ronald Butler,0,3,2,2,1,1
Ronald Carlson,1,3,0,3,3,1
Ronald Charles,0,3,2,3,3,0
Ronald Dawson,1,3,2,1,0,0
Ronald Fischer,1,3,1,2,0,2
Ronald Foster,0,2,2,0,2,1
Ronald Garcia,2,1,1,3,3,2
Ronald Gilbert,1,2,0,2,3,1
Ronald Holland Jr.,1,2,1,3,1,3
Ronald Jordan,2,0,1,2,0,3
Ronald Leon,3,0,2,3,2,2
Ronald Lopez,0,1,1,2,3,2
Ronald Lynn II,0,1,0,1,1,2
Ronald Martin,0,0,3,3,0,3
Ronald Medina,2,0,2,3,2,3
Ronald Mitchell,2,3,2,2,1,2
Ronald Morgan,3,3,1,3,0,3
Ronald Morrison,2,3,1,3,0,2
Ronald Orr,2,3,0,1,3,1
Ronald Patel,1,0,0,3,3,3
Ronald Payne,2,0,1,1,0,2
Ronald Ramirez,3,1,3,3,3,1
Ronald Ray,0,2,1,0,0,1
Ronald Reed,2,1,0,0,0,2
Ronald Richardson,1,1,3,0,3,2
Ronald Robertson,0,3,3,0,1,1
Ronald Short,3,2,0,1,1,3
Ronald Stevenson,0,1,0,0,2,3
Ronald Weber,2,3,0,0,2,1
Ronald Wolfe,3,3,3,2,1,2
Ronnie Hernandez,1,2,3,0,2,3
Ronnie Lambert,2,2,1,3,0,1
Ronnie Peterson,1,3,2,2,0,0
Ronnie Rivera,2,1,2,1,2,1
Ronnie Waters,2,3,2,3,3,0
Rose Wagner,3,1,3,0,1,1
Roy Brooks,3,0,2,2,0,1
Roy Butler,3,0,0,0,0,3
Roy Montgomery,0,0,1,3,3,0
Roy Ross,1,2,2,2,2,0
Roy Torres,3,2,2,2,3,0
Roy Ware,2,1,1,3,2,1
Ruben Hernandez,3,1,2,3,3,1
Russell Frazier,1,0,2,1,1,1
Russell Hall,1,3,3,2,1,0
Russell Martinez,3,1,0,3,1,0
Russell Miller,2,3,3,1,2,1
Russell Mitchell,0,2,0,1,3,3
Russell Perkins,1,3,0,0,1,3
Russell Ross,3,2,0,3,0,1
Ruth Clay,2,0,1,2,3,3
Ruth Donovan,1,3,1,1,2,2
Ruth Gomez,0,1,2,2,3,0
Ruth Reed,3,0,0,3,0,2
Ryan Allen,3,0,2,1,0,1
Ryan Alvarez,1,1,3,3,3,2
Ryan Bartlett,3,1,3,2,1,3
Ryan Booker,2,3,2,3,1,1
Ryan Brady,1,3,3,0,1,1
Ryan Brown,0,1,2,1,3,1
Ryan Bush,1,1,3,1,3,0
Ryan Campbell,1,0,1,2,3,1
Ryan Case,1,2,1,1,0,3
Ryan Conner,3,5,2,6,2,4
Ryan Cook,2,3,0,3,1,0
Ryan Cunningham,2,0,1,3,2,0
Ryan Dixon,2,3,3,1,0,1
Ryan Frey,2,1,1,0,3,0
Ryan George,1,2,2,1,3,2
Ryan Gonzales,1,0,1,3,0,1
Ryan Gregory,3,1,3,2,1,1
Ryan Harrison,2,0,0,2,1,0
Ryan Hill,5,2,4,0,4,0
Ryan Holt,3,0,0,2,2,3
Ryan Hull,3,0,3,1,3,3
Ryan Jenkins,2,3,1,0,1,3
Ryan Johnson,0,3,1,2,0,1
Ryan King,0,0,1,2,1,2
Ryan King DDS,0,3,2,1,1,1
Ryan Lee,2,5,2,5,5,4
Ryan Mendoza,2,0,3,1,2,0
Ryan Morgan,2,1,3,3,2,1
Ryan Nelson,2,1,3,0,1,1
Ryan Ortega,3,1,1,3,3,3
Ryan Reed,2,3,0,3,3,3
Ryan Rivera,3,1,0,3,2,3
Ryan Robinson,3,3,1,2,3,1
Ryan Rowe,2,0,2,2,1,1
Ryan Ruiz,1,0,3,0,1,3
Ryan Ryan,5,2,0,4,4,3
Ryan Scott,1,3,1,2,1,0
Ryan Small,1,3,3,1,0,0
Ryan Smith,3,1,2,3,1,3
Ryan Stevens,0,0,0,2,0,1
Ryan Stewart,2,0,2,0,3,2
Ryan Terry,0,0,2,0,1,1
Ryan Thomas,1,1,3,2,3,0
Ryan Wheeler,2,2,1,1,2,2
Ryan Whitney,2,1,3,2,3,0
Sabrina Adams,1,2,0,1,0,3
Sabrina Bell,1,2,1,3,3,3
Sabrina Kennedy,3,0,1,3,0,0
Sally Brown,0,2,2,3,1,2
Sally Clayton,2,3,2,2,1,2
Sally Horn,3,0,2,2,2,0
Sally Knight,0,1,0,0,3,3
Sally Mejia,1,3,0,3,3,1
Samantha Anthony,0,2,1,2,1,1
Samantha Berry,1,1,1,3,3,2
Samantha Brock,0,0,2,3,0,1
Samantha Brown,2,3,2,3,0,1
Samantha Carlson,2,3,3,1,0,3
Samantha Clark,0,0,3,2,1,0
Samantha Collins,1,0,1,1,2,0
Samantha Curtis,0,0,2,1,0,3
Samantha Davis,1,0,3,3,2,1
Samantha Flores,2,0,0,0,0,0
Samantha Fuentes,1,2,2,0,3,1
Samantha Gallegos,3,1,1,3,1,3
Samantha Gilmore,1,0,1,0,2,1
Samantha Golden,1,3,3,3,1,2
Samantha Gutierrez,2,0,3,0,1,3
Samantha Herrera,2,2,1,0,2,2
Samantha Hill,1,3,1,2,3,1
Samantha Holloway,2,1,3,1,0,2
Samantha Huffman,2,1,2,1,2,0
Samantha James,2,0,2,3,2,1
Samantha Kelly,0,2,0,1,3,1
Samantha Lin,1,0,3,0,3,3
Samantha Lopez,1,0,2,1,1,1
Samantha Parker,3,3,3,3,0,1
Samantha Richards,3,3,2,1,2,1
Samantha Rivera,0,3,1,0,0,2
Samantha Robinson,1,1,0,1,0,3
Samantha Ryan,0,2,2,1,1,2
Samantha Sawyer,1,3,1,1,0,3
Samantha Shea,0,1,0,0,3,2
Samantha Simmons,1,1,2,3,1,1
Samantha Smith,1,3,2,1,1,2
Samantha Stevenson,1,0,1,1,2,3
Samantha Stout,1,2,0,3,2,3
Samantha Turner,3,2,0,2,0,2
Samantha Vazquez,2,2,3,1,2,3
Samantha Zamora,3,3,2,3,2,3
Samuel Abbott,3,1,2,1,2,3
Samuel Anderson,3,2,1,3,1,2
Samuel Bass,1,3,2,3,3,3
Samuel Brown,2,0,0,2,1,0
Samuel Butler,3,2,2,2,2,2
Samuel Carter,1,2,3,3,0,1
Samuel Davenport,3,3,1,2,2,0
Samuel Davidson,2,3,3,3,3,3
Samuel Davis,3,2,0,0,2,0
Samuel Harris,2,0,2,0,3,1
Samuel Hunter,1,2,1,2,2,0
Samuel Jackson,1,3,2,2,3,0
Samuel James,4,5,0,5,2,5
Samuel Larson,0,0,2,2,0,1
Samuel Leach,1,3,0,1,3,0
Samuel Lindsey,3,1,0,3,1,3
Samuel Nelson,2,1,1,1,2,3
Samuel Norris,0,3,3,2,3,3
Samuel Ortiz,3,2,1,0,0,3
Samuel Payne,2,0,3,3,2,3
Samuel Poole,2,2,2,2,3,1
Samuel Reyes,3,3,2,2,3,2
Samuel Scott,2,0,1,3,2,1
Samuel Spencer,3,3,2,0,3,3
Samuel Turner,1,1,2,3,3,0
Sandra Bryant,2,2,2,0,3,2
Sandra Christensen,1,2,0,1,1,2
Sandra Collins,3,1,1,3,1,3
Sandra Cruz,3,3,2,1,3,3
Sandra Dixon,1,1,3,2,0,0
Sandra Edwards,2,3,3,3,2,1
Sandra Garcia,2,0,2,2,3,0
Sandra Greene,3,0,1,2,1,3
Sandra Jackson,2,0,2,1,3,1
Sandra Jones,1,2,1,2,3,3
Sandra Martin,2,2,3,2,1,1
Sandra Mcintyre,2,2,2,2,0,0
Sandra Mills,3,0,1,2,0,0
Sandra Morrison,1,0,3,0,3,3
Sandra Morrison MD,2,1,3,2,3,0
Sandra Perez,2,0,0,2,2,3
Sandra Richardson,1,2,2,0,0,3
Sandra Schultz,0,3,0,1,0,3
Sandra Stephens,0,1,1,3,0,1
Sandra Sullivan,2,1,0,2,1,1
Sandra Walters,1,3,2,3,3,1
Sandra White,1,0,1,2,1,3
Sandra Williams,3,0,0,1,2,1
Sandra Zimmerman,1,1,1,2,2,3
Sandy Mills,3,0,1,2,1,0
