,,transaction_value,transaction_value,transaction_value,transaction_value,transaction_value,transaction_value
Rebecca Estrada,edward78,11665,11539,0,8560,18855,0
Rebecca Forbes,rboyle,6000,0,4500,8689,6980,8086
Rebecca Freeman,ocox,12846,6794,3640,6686,0,9420
Rebecca Gallegos,sandrasmith,3047,9560,0,9097,13269,8707
Rebecca Gibson,eric44,24619,24093,8297,14150,8377,597
Rebecca Griffin,cherryrichard,5630,6827,7686,5297,0,0
Rebecca Harris,cgomez,10317,4497,9893,6490,150,0
Rebecca Hayes,matthew69,10390,28213,4047,13792,150,8271
Rebecca Ingram,jacksonsnyder,0,2000,597,6499,7595,14195
Rebecca Kidd,michaelmahoney,8630,0,3598,7186,0,4699
Rebecca Klein,sherri86,10660,398,11713,0,15856,13054
Rebecca Lee,gomezkyle,10743,0,2799,0,0,0
Rebecca Lopez,carriecopeland,8958,0,23463,22616,0,0
Rebecca Lozano,aaronholloway,300,10007,0,2748,0,0
Rebecca Lynch,ashley36,1500,0,5749,24422,12332,0
Rebecca Martinez,bellerica,12297,21754,5000,0,10357,0
Rebecca Mendoza,lindsey48,6120,2799,2397,4748,0,10044
Rebecca Montes,blankenshipjeffrey,10469,0,600,14340,6696,23664
Rebecca Moore,sawyerbrandi,0,3193,0,2300,18611,0
Rebecca Mosley,michaelwilliams,0,5097,4295,9259,0,17694
Rebecca Moyer,stevennguyen,4992,9960,18209,0,4384,0
Rebecca Murphy,ewalsh,18681,796,0,9883,0,9000
Rebecca Novak,kmoon,0,14015,13186,13623,10397,0
Rebecca Oconnor,robertpatel,9583,5897,0,0,0,848
Rebecca Palmer,thompsondebra,4890,2098,0,13392,8065,0
Rebecca Phillips,emmahull,10191,22365,4497,8673,5595,13756
Rebecca Powell,wgray,500,796,5296,7176,0,800
Rebecca Riley,daviscrystal,15500,20452,4384,5596,7960,8379
Rebecca Roberson,blakehensley,3980,8897,18546,600,0,10857
Rebecca Roth,delgadopatricia,3397,0,11964,7800,897,0
Rebecca Ruiz,wernerfelicia,4797,16456,22682,9590,18532,2749
Rebecca Russell,edwardhernandez,0,15240,12392,15053,10557,7395
Rebecca Sanford,batesjennifer,5994,12680,14794,1800,11287,3490
Rebecca Schroeder,theresabarrera,15769,15359,11086,6093,14193,0
Rebecca Scott,ashley59,8090,8727,0,0,6544,15950
Rebecca Smith,aaronfischer,12506,4500,0,19740,5970,10178
Rebecca Spears,james47,2296,0,8799,4486,9317,9294
Rebecca Strickland,iwatts,19047,10794,0,13496,0,0
Rebecca Thompson,lopezkevin,2596,1150,0,0,1347,4193
Rebecca Walker,lawrence17,6398,8741,0,0,6169,6494
Rebecca Wallace,ycampbell,6000,6594,10197,9420,6570,600
Rebecca Walter,kenneth60,0,6368,9165,4595,0,0
Rebecca Williams,cporter,500,5394,11397,22762,0,23249
Rebecca Wolfe,tmiller,3000,10920,7192,8444,6496,5987
Rebecca Wong,rmoore,10064,0,0,4598,6495,0
Rebekah Gould,ryan60,0,17863,0,6000,0,12776
Rebekah Hudson,molinalori,10738,0,4580,15553,18074,6945
Rebekah Wolfe,isaiah68,0,8683,14356,5373,5397,16303
Regina Campbell,mary30,0,8450,0,0,8117,19150
Regina Diaz,julie56,6598,0,9276,0,11306,10374
Regina Ellis,youngmatthew,8792,9593,6745,5287,4341,14971
Regina Frost,rachel99,19551,0,23278,398,796,21166
Regina Moreno,amanda41,1990,7293,11480,4295,28122,10393
Regina Peterson,ikramer,23420,13875,0,10280,11475,0
Regina Rice,vjohnson,0,15751,10387,15536,1348,6643
Regina Smith,ann58,7339,0,11086,14506,5887,12342
Regina Smith,christygordon,799,13472,0,9678,1197,0
Regina Soto,joseph26,7497,6642,2598,10693,3996,7786
Reginald Blankenship,christopherwarner,5098,4545,0,1797,0,15361
Reginald Dickson,william72,4094,0,3195,14591,7277,12657
Renee Alvarez,walkerstephanie,600,4387,0,11578,10425,16803
Renee Anderson,jeffreycampbell,5196,10598,0,11489,16463,13995
Renee Brown,brandi99,0,949,11158,13060,3197,597
Renee Chase,jmiller,5293,0,0,20675,0,3000
Renee Conway,prestonkimberly,19254,4800,7569,5994,7244,4547
Renee Haney,brian54,7284,0,3796,8696,8397,0
Renee Hill,dwang,7747,4795,1598,8593,11656,0
Renee Osborne,jmorris,5679,3490,12867,0,3198,0
Renee Powell,kevinpatterson,7866,2746,3048,11757,2697,2598
Renee Russell,maldonadoclaire,1498,17894,199,4387,7590,14362
Renee Smith,vickitaylor,13154,7272,5894,1898,9691,2296
Renee Washington,vanessa42,10225,24612,17487,0,450,26435
Rhonda Andrade,eward,4098,10363,5394,8987,3600,18725
Rhonda Bates,michael82,12656,4049,3198,7495,3294,898
Rhonda Boyd,wrightanne,9874,0,19959,6980,1396,0
Rhonda Calderon,kelly69,0,7524,0,8970,0,9269
Rhonda Chambers,fpalmer,13892,9691,16292,3598,10174,19254
Rhonda Chan,richardsshawna,7439,4800,0,0,7038,1699
Rhonda Cunningham,lewisbrendan,0,26752,5897,2894,15668,11196
Rhonda Gonzalez,ucaldwell,8199,14666,5226,0,5796,10583
Rhonda Kirby,gonzalezchristine,6570,5876,0,10692,14355,0
Rhonda Madden,frazierjanice,11245,0,12342,0,5970,11564
Rhonda Simmons,leonmichael,9760,17549,698,0,5143,8626
Rhonda Walters,jason09,19145,2098,15794,12000,11659,6199
Ricardo Gilbert,sandra36,6696,9176,8459,14648,7960,8517
Ricardo Li,amanda94,8195,300,12567,5129,0,16161
Ricardo Medina,debra72,4776,26425,1500,18352,9246,14900
Ricardo Nguyen,uwhite,4799,0,3196,11757,0,4500
Ricardo Price,harveykeith,24024,24547,3198,6025,3187,7985
Ricardo Sullivan,danielromero,7176,2749,500,13794,796,0
Ricardo Wilson,jenny01,16250,0,0,0,28786,1448
Richard Adams,pauljuarez,0,11557,0,2098,5696,5293
Richard Alvarado,hsmith,7146,10374,1500,2000,9209,32988
Richard Bishop,jmorgan,0,0,15913,13442,0,1494
Richard Brown,josephhall,10966,18889,18656,12063,0,0
Richard Burns,kevinadams,0,2799,0,14763,11480,3496
Richard Burns,randystephenson,0,0,13397,0,8144,11893
Richard Bush,ashley74,0,11986,3900,6349,9587,0
Richard Collins,dawn70,0,13437,8410,14367,4787,0
Richard Crawford,zmcintosh,17855,0,0,21358,10357,18280
Richard Cummings,jordanandrew,8392,16978,6649,14272,5799,10176
Richard Davenport,jay87,12588,8196,7794,8358,0,0
Richard Diaz,tharris,10400,0,0,0,4497,4800
Richard Ellison,rroach,2397,3000,0,6897,12286,0
Richard Fischer,navarrojames,3000,6734,14626,20332,10218,3338
Richard Garcia,figueroatiffany,0,7480,12495,0,14824,1990
Richard Green,clawrence,0,1398,1950,12482,2596,0
Richard Hall,joshua60,13784,9367,14255,9790,5145,14390
Richard Haney,colemanmichael,2095,10254,6048,0,20961,10397
Richard Harper,wesleyjones,19081,0,0,13166,12291,4990
Richard Hudson,jconner,0,5897,7592,7776,11533,11518
Richard Johnson,jonesdustin,1650,5896,14014,13325,0,9460
Richard Jones,richardsjoshua,11963,1498,14865,8673,7960,8897
Richard Joseph,garciajasmine,6799,12887,2000,3150,7696,18750
Richard Macias,colonmaria,9424,11159,2996,1796,11340,1595
Richard Mcguire,snyderdenise,2150,4295,0,10995,2697,6192
Richard Mcintosh,keith53,7629,0,23957,4098,500,0
Richard Monroe,vweiss,4599,2639,3249,11342,2887,1396
Richard Moon,brownrobert,3246,9460,0,0,2397,0
Richard Mosley,jeffreymcguire,6786,6594,12950,6996,7696,10937
Richard Munoz,bowenerica,2795,2299,2296,8799,0,3647
Richard Murray,joseph83,12294,6496,796,12792,0,9987
Richard Nixon,clarkdavid,2897,7944,9379,19759,13451,16269
Richard Nolan,webblarry,0,3397,10446,0,0,24448
Richard Parsons,garciasamuel,0,12699,7387,0,6567,9564
Richard Patel,harristracey,6636,9767,2500,7550,0,2048
Richard Patterson,brownronald,1096,0,0,0,2300,8198
Richard Pena,codyrodriguez,9264,14457,8547,4500,7796,4087
Richard Perez,moorebenjamin,5226,4800,16280,0,2587,0
Richard Richardson,allisontorres,0,4994,8075,0,0,10086
Richard Richardson,stevensryan,12769,3980,0,7098,398,7795
Richard Rogers,thomascarlson,8241,0,3000,7676,16773,29214
Richard Silva,emmahenry,3196,0,0,8159,4441,0
Richard Smith,anthony73,17394,17775,2997,9588,3000,5196
Richard Smith,roymcdonald,12980,8397,0,3098,4494,0
Richard Thomas,edominguez,0,0,0,6294,7098,6198
Richard Thomas,ybrown,0,10666,4387,10786,12087,10588
Richard Thompson,christopher66,8759,7896,7696,22153,23303,16846
Richard Townsend,sylvia12,0,0,17752,2100,8888,0
Richard Weaver,perrymatthew,23933,8000,5646,9679,5496,17716
Richard Winters,morrisonjacob,3897,0,8309,10497,0,3897
Rick Carpenter,brownamy,0,15790,12457,600,14358,3897
Rick Mosley,gflynn,0,10127,10166,3000,796,3489
Rickey Moore,chavezclaudia,9897,15059,0,6995,10991,8588
Ricky Hayes,nwatson,21044,1000,3197,15555,0,19799
Ricky Johnson,veronicaclark,18053,6000,0,0,7695,0
Ricky Pope,david98,0,6193,4795,7443,0,15666
Ricky Russell,ndiaz,14947,1598,2450,10495,7995,8970
Ricky Smith,seanrivera,9347,9583,0,0,8567,2248
Ricky Ward,elizabeth81,4130,7869,8080,5545,13455,2789
Riley Myers,nsmith,6996,0,12023,12925,6543,0
Rita Parker,warddavid,2140,4378,21653,0,5450,8244
Rita Sheppard,stephen19,10960,8996,8593,3995,11167,12266
Robert Adams,grahamgrace,0,1598,7470,3193,14593,0
Robert Alvarez,xthomas,17254,11446,0,0,10937,0
Robert Anderson,melissa60,300,7096,27450,0,7892,19412
Robert Anderson,oharris,22443,5592,11658,6297,4598,0
Robert Anderson,wwilliams,14689,0,9483,6041,2848,4844
Robert Arnold,holdenkevin,0,20420,3047,0,0,3980
Robert Ayala,ana27,14073,0,9980,3195,15405,11570
Robert Baird,vhess,8696,0,9497,9086,17077,0
Robert Benjamin,figueroarichard,0,19376,0,0,4990,20004
Robert Bennett,burnsbradley,13464,4098,11155,0,10387,12246
Robert Benson,drichards,0,12780,0,14766,7868,10593
Robert Blair,juliathomas,16037,9190,0,10037,10792,0
Robert Brewer,jameslee,16743,6293,10920,11895,14454,16397
Robert Brooks,brandon54,7394,7047,5279,17723,0,0
Robert Brown,john05,13256,4930,9570,7094,9844,9492
Robert Brown,laurenbradshaw,4978,0,7269,2198,3897,11357
Robert Bryant,melissabowen,0,19750,2894,14153,11832,1299
Robert Burns,krystalbarnes,3196,1598,10221,0,19103,13344
Robert Burns,latasharivers,0,0,0,0,3192,20186
Robert Calderon,mcleansteve,6199,11800,9960,0,8955,6095
Robert Carter,brittneysmith,26293,10558,17915,3996,11975,11594
Robert Chase,kathleenpeters,8093,13358,4598,3689,23374,18122
Robert Cole,feliciawerner,0,1000,13060,14358,8490,4130
Robert Cooper,krobinson,15653,398,8410,0,150,500
Robert Cox,csimmons,2150,14134,17073,0,12487,2600
Robert Craig,tiffanywilliams,0,4000,12548,20059,13266,4038
Robert Cruz,silvasharon,0,0,17556,9086,15488,4791
Robert Curtis,harriswayne,6590,4794,11493,0,0,12460
Robert Davenport,hernandezmaxwell,1546,0,14949,11691,1498,15991
Robert Davis,fevans,19660,199,0,0,14547,8542
Robert Dixon,jeffreypeters,1500,7485,9789,9789,0,6578
Robert Dixon,sarah69,18331,0,0,21626,13636,5196
Robert Ferrell,jennifer58,6980,7598,1990,10497,7269,14557
Robert Flynn,moralesana,0,0,19187,5950,0,15106
Robert Frazier,twelch,0,0,0,2000,3546,450
Robert Garcia,asmith,17705,4097,9218,150,7090,0
Robert Garza,ecoleman,16075,0,2799,2000,10568,8384
Robert Glenn,william61,11764,18337,8093,2697,12733,0
Robert Goodwin,mcguireerin,0,4495,25634,2600,8995,22459
Robert Gordon,ijones,12995,5844,3696,0,799,13004
Robert Green,monicagray,796,17369,0,11900,2097,4996
Robert Green,turnersusan,2249,0,2296,9974,0,0
Robert Griffin,torresamy,18439,0,0,3980,8980,18347
Robert Haas,stricklandedward,20689,5000,16271,2800,2000,8960
Robert Hamilton,anthonycrawford,13168,0,7898,3600,16297,22530
Robert Hamilton,paul08,0,0,5995,3397,0,0
Robert Hanson,kellybrooks,0,15475,0,9495,199,12392
Robert Harmon,jenniferbates,14869,26879,897,9959,15357,10596
Robert Herman,jali,11655,7920,15593,0,5397,8662
Robert Herman,thompsonryan,4797,1299,5296,0,10693,4098
Robert Hernandez,james55,0,9356,0,0,10082,16965
Robert Hernandez,smiller,2000,800,0,6196,8659,22224
Robert Hernandez,tricia10,7643,27650,17954,0,11068,8557
Robert Hicks,swilliams,6000,8940,4196,13779,7598,14563
Robert Jackson,vjohnson,13558,1299,998,2545,7047,0
Robert Jenkins,pleblanc,8095,27365,450,12794,15892,11460
Robert Johnson,alice50,10086,10112,17153,0,15192,0
Robert Johnson,angelahays,8593,1396,500,0,1949,16072
Robert Johnson III,duncanmegan,6097,0,6766,0,0,7568
Robert Jones DDS,zallen,7990,0,2000,11598,4497,0
Robert Kane,hernandezwilliam,19172,0,7342,0,14453,19085
Robert Kim,yolanda04,9094,398,12558,0,16758,9132
Robert King,rwilliams,12272,0,0,11416,0,7098
Robert Krueger,carrilloeric,19930,17817,9574,3450,8480,1598
Robert Lambert,donaldpruitt,3197,12990,21703,0,0,6796
Robert Lawrence,colerobinson,2997,22749,8970,0,0,8480
Robert Lawrence,evan95,11517,8358,6841,3000,16264,6990
Robert Leblanc,barbaracannon,20451,8985,0,950,13244,18975
Robert Leonard,kimparrish,2140,9950,1299,8885,12384,24722
Robert Lewis,carlamendoza,4738,0,8097,3694,17090,0
Robert Lewis,chandlereric,4800,8958,0,12439,0,10848
Robert Lewis,clarkcynthia,0,10354,4442,0,0,0
Robert Lindsey,foxolivia,10480,8589,12578,0,10770,5993
Robert Logan,ryansolis,15210,0,2498,0,6777,17668
Robert Lopez,barbermichael,14455,0,0,1899,11171,7593
Robert Madden,brittany44,5793,3799,0,12193,15754,12683
Robert Mann,yevans,0,13591,150,4687,10827,10744
Robert Marsh,sheilaalvarez,0,600,11195,0,0,0
Robert Martinez,josejohnson,4987,10945,3196,13993,3799,3597
Robert Mason,josephhill,14166,0,8466,7250,2098,0
Robert Mathews,wellserica,10032,6790,0,0,12139,18553
Robert Matthews,crystal33,4887,796,20040,0,2348,5486
Robert Mccullough,michaelhoffman,0,9722,4099,0,8593,0
Robert Mcdaniel,martin74,19936,10905,8084,4696,19322,19764
Robert Merritt,romerojennifer,0,4295,8137,3299,5495,8495
Robert Meyer,khanjustin,15852,796,8075,23512,21962,10465
Robert Moody,rosariojames,23652,8348,2448,7244,5897,0
Robert Moore,tamara75,5992,0,7399,6196,9847,6796
Robert Moore,whitney31,8796,21826,8842,0,0,0
Robert Morgan,kimberly70,0,4995,1996,0,2847,12893
Robert Morris,petersonjulie,548,1598,5946,8495,17395,11627
Robert Munoz,zachary68,15394,3980,5592,0,12465,349
Robert Murray,melissa37,0,0,10066,1000,799,0
Robert Nguyen,fshaw,1898,2348,0,0,3980,0
Robert Owens,jasminemcdowell,0,0,0,0,5397,17542
Robert Parrish,xparker,22754,11756,10346,7269,15773,8474
Robert Parsons,moodycourtney,17347,17900,0,0,0,21050
Robert Patton,fisherashley,0,0,2294,14058,22020,16171
Robert Perez,samantha63,9878,300,9687,499,6044,0
Robert Perry,sandra29,0,1990,0,6145,18656,11630
Robert Peterson,christopherriley,0,10097,1500,0,11387,0
Robert Pittman,andersonroger,450,10533,2794,8997,14851,10766
Robert Pope,sarahcain,0,0,12875,10592,2094,199
Robert Rice,moranchristopher,10263,4898,1500,8295,0,8295
Robert Richard,rroman,26441,0,14554,16442,2300,11566
Robert Roberts,clarkmary,6478,4895,1500,0,15573,0
Robert Rodriguez,flopez,0,1000,1000,0,9042,5196
Robert Russell,jacquelinejohnson,3950,4546,15596,13156,20256,18203
Robert Russo,crystallane,12563,3897,9773,10299,8970,15990
Robert Salazar,randall84,11276,4598,0,9650,7696,5970
Robert Santiago,joseph90,14965,450,1745,6297,1000,17656
Robert Sherman,qbowen,2797,15450,4098,10444,16658,11495
Robert Short,fwerner,5388,0,4797,7730,0,0
Robert Simmons,jenniferrichards,0,450,14661,13691,17608,3897
Robert Singh,fsparks,6294,0,0,0,6990,10491
Robert Smith,abowers,10712,3796,0,7897,19377,11746
Robert Smith,brittanyrubio,1348,7600,0,9683,0,13156
Robert Smith,hsantiago,2446,5599,11872,0,450,6420
Robert Smith,ian51,0,3897,1500,22860,9543,5186
Robert Snyder,mfarmer,6897,0,3498,0,16837,2789
Robert Tate,julie45,0,150,6270,4693,8696,5397
Robert White,mcfarlandharry,1500,0,6950,14791,21136,398
Robert Williams,hrobinson,0,9093,1598,14191,0,12357
Robert Williams,kallen,1000,1996,0,0,0,0
Robert Williams,ngallagher,8994,3444,5045,12327,11490,16284
Robert Williams,nicholasholland,0,14903,0,5596,2397,13357
Robert Williams,owade,4779,0,18110,0,0,19486
Robert Wilson,richard93,8196,7498,7794,7878,5279,10807
Robert Wolfe,clopez,199,11281,8970,14264,3196,0
Robert Wright,teresa57,9646,12667,8449,0,12794,3196
Robert Young,andrewjohnson,15325,10367,0,3298,14807,9077
Robert Young,theresazimmerman,12659,9868,8297,0,19956,5789
Roberta Booker,maynardbrandon,398,0,3980,4898,10491,9090
Roberta Rodriguez,rachelelliott,2598,0,0,199,5299,0
Roberto Blevins,stephensondiane,6095,6944,24341,11446,6095,2092
Roberto Campbell,dawn04,0,450,5597,28624,0,5047
Roberto Castro,katelyndiaz,9491,0,19734,0,13575,2899
Roberto Herman,mlee,0,22355,0,6444,2949,6391
Roberto Medina,dakotapatterson,500,8223,8967,14460,11879,12199
Roberto Whitaker,powelljeffrey,16730,0,0,15851,1396,2397
Robin Barry,caldwellelizabeth,5595,16120,3745,796,4193,9750
Robin Caldwell,mbrown,0,16274,0,19161,18437,13078
Robin Carpenter,humphreydan,11095,11166,7196,17255,600,0
Robin Collins,uyoung,14496,11656,9991,0,5799,3196
Robin Fisher,buckchristina,0,796,15856,0,16288,9394
Robin Gonzales,qmorrison,15886,11244,2598,0,8460,0
Robin House,cathyaustin,1500,8593,23540,11186,3098,0
Robin Kline,tbradford,0,8296,0,11592,0,5296
Robin Larson,nbrown,17636,19149,7288,7645,0,0
Robin Lee,davidthompson,0,11814,1597,11260,150,1500
Robin Mccoy,crystalwhite,21865,8794,6096,18794,7196,15179
Robin Miller,tbrandt,12294,15780,8159,8889,15156,0
Robin Moon,josephjensen,21456,0,9398,14367,0,14960
Robin Morales,wcallahan,18203,2547,6696,3595,0,4347
Robin Robinson,richard63,10387,7528,5694,27754,5198,6500
Robin Russell,thomas56,0,9892,12725,6536,7960,0
Robin Smith,xwilson,0,8144,9769,10599,29337,0
Robin Stevens,andrew63,10246,8195,8392,15274,4498,11950
Robin Vasquez,jacob89,14036,0,0,0,14759,5887
Robin Williams,xnixon,0,0,20390,10591,0,6766
Robyn Harrington,timothywells,11689,9279,0,9867,4776,9555
Rodney Barajas,dkennedy,14943,0,8960,10960,0,13762
Rodney Davis,smithlori,0,19849,5196,8542,9610,19759
Rodney Gordon,teresa04,0,3800,9375,8068,3150,24016
Rodney Hall,ebony09,5976,0,6993,8187,2597,6993
Rodney Ortega,vwright,0,6593,0,12192,15682,4589
Rodney Perry,hbrown,0,3490,11196,5636,14789,13450
Rodney Quinn,thomas21,0,0,7869,5146,0,0
Rodney Rodriguez,vproctor,0,0,7048,19459,597,5940
Rodney Taylor,dfrederick,3346,20548,2397,4693,15894,0
Rodney Vasquez,emma85,14564,0,0,0,1500,10577
Roger Ashley,whitestacie,5693,7875,0,5100,2598,25681
Roger Hood,melindabrowning,8898,0,3545,10058,0,0
Roger Myers,matthewsmichael,11156,16396,11120,10314,199,5997
Roger Reid,tcohen,12540,4779,12724,9458,2898,0
Roger Tucker,christopherduncan,9323,5837,3394,500,0,0
Roger Ward DDS,tsmith,8570,7791,600,11178,17994,0
Roger Williams,diazkevin,0,3398,799,6175,6745,3992
Roger Willis,juliaduncan,0,0,18439,3796,10158,0
Roger Wright,rsavage,4780,0,11491,0,0,0
Ronald Archer,marshheather,0,8589,13554,6578,0,11616
Ronald Baker,anita17,21905,0,5646,2440,9246,5740
Ronald Bell,jill14,3697,9409,0,18128,5796,15228
Ronald Butler,megan24,0,19892,7291,4347,5000,1246
Ronald Carlson,arianawade,500,20743,0,22540,10142,1249
Ronald Charles,loretta17,0,9975,14337,13102,17090,0
Ronald Dawson,david65,3490,5449,4897,4197,0,0
Ronald Fischer,alicia05,4592,13817,199,10293,0,4650
Ronald Foster,robertanderson,0,4096,9897,0,8893,3196
Ronald Garcia,dcopeland,8835,7269,150,19520,9095,9426
Ronald Gilbert,kingrobin,6193,15590,0,3696,17868,7186
Ronald Holland Jr.,leejackson,15867,2297,3693,21963,1450,15586
Ronald Jordan,morganlaura,10084,0,6600,7697,0,13044
Ronald Leon,nerickson,13265,0,5296,8489,10795,13666
Ronald Lopez,estewart,0,2397,6500,12078,8096,4439
Ronald Lynn II,rmurphy,0,5048,0,5095,2100,13316
Ronald Martin,greenkirsten,0,0,29915,14958,0,12888
Ronald Medina,ashley97,2490,0,5779,16961,5950,10836
Ronald Mitchell,david03,11766,18653,9410,2494,799,9594
Ronald Morgan,jonesjeffrey,10138,11196,8190,11089,0,14398
Ronald Morrison,fewing,3687,11394,7394,3898,0,1746
Ronald Orr,jaredblair,2897,17762,0,7093,15945,5496
Ronald Patel,brian15,4887,0,0,4038,16716,19121
Ronald Payne,mary70,10889,0,4397,300,0,7794
Ronald Ramirez,brichardson,12273,7696,7244,10291,15546,7960
Ronald Ray,justinroy,0,10524,3980,0,0,9980
Ronald Reed,elizabethclark,18342,747,0,0,0,9867
Ronald Richardson,hernandezrichard,7960,8598,3600,0,14857,8986
Ronald Robertson,spencerjessica,0,12094,18553,0,1296,1096
Ronald Short,jeffrey08,7446,11962,0,4430,9269,16403
Ronald Stevenson,jonesrodney,0,796,0,0,3786,4794
Ronald Weber,ftaylor,2797,18612,0,0,8995,4094
Ronald Wolfe,greenpaul,10669,11539,12988,14624,7896,4197
Ronnie Hernandez,ihansen,9196,11593,6877,0,6177,23156
Ronnie Lambert,jamesharvey,12975,2388,150,5446,0,796
Ronnie Peterson,elizabeth77,796,13981,8380,5496,0,0
Ronnie Rivera,daniellemerritt,3239,10960,5584,2097,12462,1699
Ronnie Waters,tatewilliam,2797,13291,11481,1145,9196,0
Rose Wagner,smithmichael,9526,7877,15067,0,2490,1246
Roy Brooks,jo43,5185,0,11207,4592,0,2598
Roy Butler,leedavid,20944,0,0,0,0,6244
Roy Montgomery,doylekelsey,0,0,1595,5291,10819,0
Roy Ross,rhill,3098,13543,7580,10898,7697,0
Roy Torres,amy34,19351,4789,2796,7578,26161,0
Roy Ware,antoniogray,1450,1896,6196,11507,8444,8093
Ruben Hernandez,aharvey,9916,6398,3698,8586,13425,2000
Russell Frazier,tyler08,4295,0,11176,4196,5295,3980
Russell Hall,juanboyle,597,13192,17301,3100,13753,0
Russell Martinez,caitlinruiz,22716,9558,0,12975,2195,0
Russell Miller,cameronthornton,9267,5789,19851,3600,15962,949
Russell Mitchell,ucannon,0,4495,0,9610,16872,3897
Russell Perkins,garrettgraham,2388,15870,0,0,2500,13921
Russell Ross,boydamanda,18741,8900,0,13456,0,3047
Ruth Clay,rwelch,8867,0,500,4343,8777,20194
Ruth Donovan,caseygreen,150,19722,2000,300,4393,3397
Ruth Gomez,hillapril,0,8960,16955,13770,11491,0
Ruth Reed,virginiaward,9624,0,0,19295,0,19392
Ryan Allen,diazcassandra,6592,0,7643,450,0,600
Ryan Alvarez,jamesgarcia,1950,5970,14306,8995,12989,8980
Ryan Bartlett,qfox,11193,11166,5598,6450,3596,11059
Ryan Booker,david08,12774,12711,23733,10660,3889,1990
Ryan Brady,josephwalker,8177,32055,7024,0,1990,5596
Ryan Brown,stephaniepatrick,0,1990,5150,4197,23283,1598
Ryan Bush,sgarrett,4992,5480,7726,5970,17160,0
Ryan Campbell,brett80,3098,0,11465,9636,9877,8410
Ryan Case,jessicachoi,7093,8290,8346,1799,0,4043
Ryan Conner,john07,6346,16899,0,9445,7397,5196
Ryan Conner,qkane,9570,13190,6319,17554,4598,13581
Ryan Cook,sblackwell,6586,9883,0,13116,12120,0
Ryan Cunningham,dilloncrystal,5079,0,1849,17313,13054,0
Ryan Dixon,stephaniedavis,7980,13283,14816,2498,0,3245
Ryan Frey,nunezbilly,11970,9157,2450,0,14565,0
Ryan George,taylormichael,1800,2298,5684,6078,11790,5397
Ryan Gonzales,derek14,2098,0,3395,17993,0,7960
Ryan Gregory,ipierce,16287,3897,13115,4693,3249,7299
Ryan Harrison,igomez,3797,0,0,18362,7167,0
Ryan Hill,framirez,9925,2398,13293,0,9356,0
Ryan Hill,todd17,8096,2397,10256,0,19587,0
Ryan Holt,jeffreyhoward,13981,0,0,7595,4344,17488
Ryan Hull,hayesmatthew,12545,0,23731,8176,3544,18539
Ryan Jenkins,paigehall,4383,18496,2737,0,450,9295
Ryan Johnson,emoon,0,7998,3897,9259,0,398
Ryan King,nicole04,0,0,3897,10000,9083,14562
Ryan King DDS,freemancatherine,0,9367,7098,7066,1598,1299
Ryan Lee,malonejohn,0,9558,0,14650,16955,7470
Ryan Lee,michael50,12197,18741,9589,11290,18935,6646
Ryan Mendoza,rayangela,7596,0,17547,12455,7188,0
Ryan Morgan,frankcrawford,9347,1500,17572,28762,24322,6600
Ryan Nelson,wgordon,15542,7960,14038,0,7593,2000
Ryan Ortega,danielsdanielle,16492,4799,10460,17708,19822,13885
Ryan Reed,cblack,16365,10767,0,12391,9975,13651
Ryan Rivera,zthompson,8676,7960,0,26865,15677,14342
Ryan Robinson,fgray,14186,36420,500,9476,6585,597
Ryan Rowe,daniel28,9182,0,5379,16693,13759,9176
Ryan Ruiz,xcalderon,1500,0,16475,0,6196,2898
Ryan Ryan,gbeasley,6647,0,0,14078,4898,3196
Ryan Ryan,jennifer71,13995,4687,0,13294,4846,10892
Ryan Scott,wrios,6796,10494,4500,13769,3196,0
Ryan Small,gregorywalker,2397,18032,22068,7196,0,0
Ryan Smith,tracey28,14860,2596,13266,16535,8587,17664
Ryan Stevens,fishertanya,0,0,0,11962,0,799
Ryan Stewart,seanleonard,5746,0,17162,0,11184,3796
Ryan Terry,hernandezrobert,0,0,5048,0,10357,3980
Ryan Thomas,howardmisty,1197,199,14576,10176,15212,0
Ryan Wheeler,kjohnson,2896,8392,7990,9270,14544,8358
Ryan Whitney,mark41,1597,8492,6992,6539,20564,0
Sabrina Adams,henryclaudia,11358,13167,0,1498,0,15287
Sabrina Bell,moniquebenson,2789,15433,1598,17350,17031,14693
Sabrina Kennedy,rcrane,16688,0,500,20812,0,0
Sally Brown,tranjames,0,3398,17556,8485,2596,4893
Sally Clayton,jenniferparsons,6941,4493,6294,13605,799,3695
Sally Horn,morristaylor,18868,0,7786,1896,7088,0
Sally Knight,iwoodward,0,6000,0,0,23348,7294
Sally Mejia,tsmith,9356,12640,0,6528,8378,800
Samantha Anthony,walkerjohn,0,8542,6968,19555,1699,799
Samantha Berry,kevintate,6567,9326,14110,16336,24227,5694
Samantha Brock,nedwards,0,0,6548,3496,0,3897
Samantha Brown,nortonkelsey,5799,11866,9093,7024,0,1990
Samantha Carlson,brianbennett,7099,28575,9290,1246,0,10215
Samantha Clark,claudia58,0,0,11455,7779,2799,0
Samantha Collins,edwardstiffany,398,0,5492,2598,9736,0
Samantha Curtis,hannahpowell,0,0,10339,4396,0,12264
Samantha Davis,michaelgutierrez,1000,0,19031,8646,9982,150
Samantha Flores,qward,21930,0,0,0,0,0
Samantha Fuentes,tyler78,8796,6942,12455,0,17857,4995
